game_id,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,player,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,game_date,season,Team,Relinquished,Notes
21500064,1610612753.0,ORL,Orlando,202696.0,Nikola Vucevic,C,,16.75,130.7,131.4,124.6,126.5,6.1,5.0,0.125,0.0,25.0,0.0,0.133,0.083,0.0,0.5,0.5,0.162,0.166,99.9,98.87,82.39,35.0,0.075,2015-11-04,2015-16,Magic,Nikola Vucevic,sprained right knee (DTD)
21500064,1610612745.0,HOU,Houston,201976.0,Patrick Beverley,,,12.016666666666667,115.6,120.0,106.4,111.1,9.2,8.9,0.0,0.0,0.0,0.0,0.14300000000000002,0.083,0.0,0.375,0.375,0.14300000000000002,0.138,108.17,103.86,86.55,25.0,0.019,2015-11-04,2015-16,Rockets,Patrick Beverley,concussion (DTD)
21500099,1610612754.0,IND,Indiana,201155.0,Rodney Stuckey,,,17.816666666666666,92.2,94.4,92.1,97.3,0.1,-2.9,0.364,0.0,33.3,0.0,0.105,0.053,0.0,0.375,0.375,0.205,0.201,102.32,98.33,81.95,36.0,0.129,2015-11-09,2015-16,Pacers,Rodney Stuckey,sore right ankle (DTD)
21500123,1610612757.0,POR,Portland,203086.0,Meyers Leonard,F,,23.933333333333334,112.3,114.6,108.3,106.3,4.0,8.3,0.105,0.0,33.3,0.0,0.22699999999999998,0.109,0.0,0.875,0.875,0.077,0.077,96.31,96.27,80.22,48.0,0.114,2015-11-11,2015-16,Blazers,Meyers Leonard,dislocated left shoulder (out indefinitely)
21500147,1610612766.0,CHA,Charlotte,203798.0,PJ Hairston,F,,9.466666666666667,140.8,138.9,111.9,111.1,28.9,27.8,0.0,0.0,0.0,0.14300000000000002,0.0,0.071,0.0,0.5,0.5,0.1,0.10099999999999999,90.35,91.27,76.06,18.0,0.06,2015-11-15,2015-16,Hornets,P.J. Hairston,placed on IL with bruised right quadricep
21500153,1610612741.0,CHI,Chicago,201565.0,Derrick Rose,G,,33.21666666666667,93.0,94.1,83.3,84.3,9.7,9.8,0.4,0.0,23.1,0.024,0.022000000000000002,0.023,0.0,0.556,0.5820000000000001,0.26,0.26,100.89,99.71,83.09,68.0,0.179,2015-11-16,2015-16,Bulls,Derrick Rose,sprained left ankle (DTD)
21500176,1610612739.0,CLE,Cleveland,202389.0,Timofey Mozgov,C,,11.25,166.0,165.0,97.0,100.0,69.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.5,0.5,0.14300000000000002,0.14400000000000002,88.58,87.47,72.89,20.0,-0.038,2015-11-19,2015-16,Cavaliers,Timofey Mozgov,strained right shoulder (DTD)
21500191,1610612737.0,ATL,Atlanta,201168.0,Tiago Splitter,,,9.466666666666667,68.4,68.4,117.4,110.5,-49.0,-42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.105,0.105,93.5,96.34,80.28,19.0,0.086,2015-11-21,2015-16,Hawks,Tiago Splitter,sore right hip (DTD)
21500204,1610612748.0,MIA,Miami,2736.0,Luol Deng,F,,31.133333333333333,94.7,94.9,97.4,100.0,-2.7,-5.1,0.0,0.0,0.0,0.027999999999999997,0.061,0.043,10.0,0.5,0.5,0.145,0.145,92.32,90.96,75.8,59.0,0.06,2015-11-23,2015-16,Heat,Luol Deng,sore hamstring (DTD)
21500215,1610612766.0,CHA,Charlotte,203798.0,PJ Hairston,F,,16.2,100.8,94.1,109.9,109.1,-9.1,-15.0,0.182,2.0,25.0,0.0,0.14300000000000002,0.077,12.5,0.375,0.512,0.154,0.163,95.59,99.26,82.72,34.0,0.045,2015-11-25,2015-16,Hornets,P.J. Hairston,placed on IL
21500282,1610612758.0,SAC,Sacramento,1626161.0,Willie Cauley-Stein,F,,17.666666666666668,123.9,125.6,94.9,97.4,29.0,28.2,0.091,1.0,14.3,0.077,0.174,0.139,14.3,1.0,0.862,0.14300000000000002,0.14400000000000002,108.11,105.93,88.28,39.0,0.13,2015-12-03,2015-16,Kings,Willie Cauley-Stein,dislocated right index finger (out indefinitely)
21500372,1610612766.0,CHA,Charlotte,203798.0,PJ Hairston,F,,21.95,100.1,102.3,125.9,131.8,-25.8,-29.5,0.0,0.0,0.0,0.05,0.077,0.061,15.4,0.591,0.612,0.271,0.266,98.45,95.13,79.27,43.0,0.07200000000000001,2015-12-16,2015-16,Hornets,P.J. Hairston,placed on IL
21500399,1610612766.0,CHA,Charlotte,203798.0,PJ Hairston,F,,18.666666666666668,86.0,89.5,109.1,107.3,-23.1,-17.8,0.25,2.0,20.0,0.115,0.17600000000000002,0.14,10.0,0.667,0.727,0.17,0.168,102.65,101.57,84.64,38.0,0.16,2015-12-19,2015-16,Hornets,P.J. Hairston,placed on IL
