game_id,team_id_a,team_id_b,away_home_a
21000254,1610612738,1610612739,0
21000255,1610612765,1610612753,0
21000256,1610612755,1610612757,1
21000257,1610612751,1610612752,0
21000258,1610612747,1610612763,0
21000259,1610612754,1610612758,0
21000260,1610612744,1610612759,1
21000261,1610612737,1610612763,1
21000262,1610612751,1610612760,1
21000263,1610612761,1610612764,1
21000264,1610612738,1610612757,1
21000265,1610612765,1610612748,0
21000266,1610612741,1610612753,1
21000267,1610612766,1610612740,0
21000268,1610612742,1610612750,1
21000269,1610612745,1610612747,1
21000270,1610612743,1610612749,1
21000271,1610612754,1610612762,0
21000272,1610612746,1610612759,1
21000273,1610612739,1610612748,1
21000274,1610612744,1610612756,1
21000275,1610612766,1610612751,1
21000276,1610612760,1610612761,0
21000277,1610612757,1610612764,0
21000278,1610612737,1610612755,1
21000279,1610612765,1610612753,1
21000280,1610612738,1610612741,1
21000281,1610612745,1610612763,0
21000282,1610612740,1610612752,1
21000283,1610612750,1610612759,0
21000284,1610612743,1610612746,1
21000285,1610612754,1610612756,0
21000286,1610612742,1610612762,0
21000287,1610612747,1610612758,1
21000288,1610612737,1610612748,0
21000289,1610612766,1610612755,0
21000290,1610612741,1610612745,1
21000291,1610612739,1610612750,0
21000292,1610612749,1610612753,1
21000293,1610612742,1610612758,0
21000294,1610612738,1610612751,0
21000295,1610612752,1610612761,0
21000296,1610612739,1610612765,0
21000297,1610612744,1610612760,0
21000298,1610612740,1610612759,0
21000299,1610612743,1610612763,1
21000300,1610612756,1610612764,1
21000301,1610612746,1610612757,0
21000302,1610612754,1610612761,1
21000303,1610612737,1610612753,0
21000304,1610612750,1610612752,0
21000305,1610612741,1610612760,1
21000306,1610612748,1610612749,0
21000307,1610612763,1610612762,0
21000308,1610612746,1610612758,1
21000309,1610612737,1610612751,1
21000310,1610612766,1610612743,1
21000311,1610612739,1610612755,0
21000312,1610612742,1610612744,1
21000313,1610612765,1610612745,0
21000314,1610612756,1610612757,0
21000315,1610612747,1610612764,1
21000316,1610612738,1610612743,1
21000317,1610612741,1610612739,0
21000318,1610612752,1610612761,1
21000319,1610612754,1610612749,0
21000320,1610612750,1610612760,1
21000321,1610612765,1610612740,0
21000322,1610612744,1610612759,0
21000323,1610612763,1610612756,0
21000324,1610612748,1610612762,0
21000325,1610612758,1610612764,1
21000326,1610612746,1610612747,1
21000327,1610612738,1610612755,0
21000328,1610612742,1610612751,1
21000329,1610612753,1610612757,0
21000330,1610612766,1610612754,0
21000331,1610612743,1610612761,0
21000332,1610612752,1610612764,0
21000333,1610612741,1610612747,1
21000334,1610612765,1610612750,0
21000335,1610612740,1610612760,1
21000336,1610612745,1610612749,0
